#STA	REFSTA	ONDATE	OFFDATE	LAT	LON	ELEV	STATYPE	STANAME
AKASG	AKASG	-1	2286324	50.7012	29.2242	0.16	ar	Malin, Ukraine
BRTR	BRTR	-1	2286324	39.725253	33.638946	1.4776	ar	Keskin_Turkey_short_period_array
DAVOX	DAVOX	-1	2286324	46.7805	9.87952	1.83	ss	Davos/Dischmatal, Switzerland
FINES	FINES	-1	2286324	61.4436	26.0771	0.15	ar	FINESS Array Beam Reference Point; Finland
GERES	GERES	-1	2286324	48.845106	13.701559	1.13246	ar	GERMAN EXPERIM. SEISMIC SYSTEM (GERESS), Germany
HFS	HFS	-1	2286324	60.133474	13.69449	0.2967	ar	HAGFORS ARRAY, Sweden
KEST	KEST	-1	2286324	35.73178	9.34603	0.84	ss	Kesra, Tunisia
NOA	NOA	-1	2286324	61.0397	11.2148	0.717	ar	NORSAR Array Beam Reference Point; Norway
