#ORID	ARID	STA	PHASE	DELTA	ESAZ	TIMEDEF	TIMERES	AZDEF	AZRES	SLODEF	SLORES
8926220	205045026	NOA	Pn	14.411528	342.16241	d	-4.7301974	n	16.667713	n	4.3277318
8926220	204950062	AKASG	Pn	6.6547065	59.109909	d	-0.33595304	n	-5.621366	n	-1.0030419
8926220	204950063	AKASG	Sn	6.6547065	59.109909	d	2.621802	n	-8.279416	n	-8.1728321
8926220	205200853	BRTR	Pn	12.501414	124.2693	d	-0.43816169	n	-4.2211574	n	-1.213382
8926220	205200845	DAVOX	Sn	7.1005037	266.98708	d	-0.0043881115	n	-99.250249	n	-3.8716571
8926220	205331529	DAVOX	Pn	7.1005037	266.98708	d	1.7053218	n	-0.50953856	n	-0.66641494
8926220	205139953	FINES	Pn	14.248943	11.477284	d	-3.826604	n	-12.444835	n	-1.7410716
8926220	205522407	GERES	Pn	4.5289845	288.05894	d	0.44790304	n	3.9234182	n	-0.19517439
8926220	205617934	GERES	Sn	4.5289845	288.05894	d	-0.058212453	n	17.509158	n	-8.9845341
8926220	205139962	HFS	Pn	13.102348	345.45267	d	-4.1897551	n	-21.22416	n	0.1090584
8926220	205487939	HFS	Sn	13.102348	345.45267	d	-4.4406552	n	15.00908	n	-5.6241625
8926220	204915379	KEST	Pn	14.378619	218.20494	d	-1.0430238	n	34.893496	n	0.97059383
