#ARID	STA	JDATE	TIME	DELTIM	AZIMUTH	DELAZ	SLOW	DELSLO
204915379	KEST	2013112	1366669929.4	0.551768	65.838706	31.923912	14.623705	10.963832
204950062	AKASG	2013112	1366669824.27543	0.3533709	240.28443	2.0766952	12.728347	0.46131582
204950063	AKASG	2013112	1366669902.85	0.57678062	237.62638	2.8704251	16.452697	0.82416709
205045026	NOA	2013112	1366669925.99069	0.45795105	171.46923	0.69749716	17.990226	0.21900485
205139953	FINES	2013112	1366669924.6074	0.12	183.82292	3.7819071	11.886056	0.78441726
205139962	HFS	2013112	1366669908.64043	0.12	138.93018	2.6816099	13.765834	0.64422246
205200845	DAVOX	2013112	1366669911.4007	1.07	340.15811	6.428085	20.744766	2.326161
205200853	BRTR	2013112	1366669904.45	0.551768	309.32178	4.401948	12.452451	0.752388
205331529	DAVOX	2013112	1366669832.64995	0.12	78.89882	3.404953	13.061587	0.77610507
205487939	HFS	2013112	1366670053.80297	0.551768	175.16342	10.177256	18.805378	3.335946
205522407	GERES	2013112	1366669796	0.12	107.12709	2.1202644	13.549586	0.5013819
205617934	GERES	2013112	1366669847.93969	0.9308439	120.71283	16.779389	15.675503	4.5742716
